书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
破绽：风口上的独角兽,陈歆磊,管理_创业,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1l4KOeyv_jv1ew3Y2hCo9QQ
最佳实践萃取,孙波,管理_创业,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1zn7pd-rj8YwXpOE5GT4jzA
非显著趋势,罗希特•巴尔加瓦,管理_创业,6.3,百度网盘(提取码:6666),https://pan.baidu.com/s/13RA5vlWzKNgXUPG3pFPBsQ
升维：争夺产品认知高地的战争,彭耀,管理_创业,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1P5RpnFfaACGBCFdIaGoU1w
与运气竞争,克莱顿·克里斯坦森,管理_创业,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1KxnfZKGj-AO32i_Qpj4duQ
中国式管理,曾仕强,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5TBOJXC
零售的本质：为顾客提供生活解决方案,本多利范,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5y2iWvi
创业：放飞你的梦想,约翰·奇泽姆,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5AENnqu
以热爱战胜恐惧：中国式领导力发展大纲,肖知兴,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5VC5hJK
创新者的方法,内森•弗尔 & 杰夫·戴尔,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5oMxq57
合伙人制度：有效激励而不失控制权是怎样实现的,郑指梁,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5mqrAHB
高效管理,乔纳森·莱蒙德,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/5vZMu3T
一个成本杀手的管理自白,戈恩,管理_创业,0,百度网盘(提取码:6666),https://share.weiyun.com/50vtHp1
教练式管理：用NLP技术唤醒员工潜能,范博仲,管理_创业,1,百度网盘(提取码:6666),https://pan.baidu.com/s/13gTakP8TKuC4YDElxMUH7w
周期,霍华德·马克斯,管理_创业,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1YkKuGHdBzrWVKKfE2sOf2w
从1到N：企业数字化生存指南,尤尔根·梅菲特,管理_创业,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/12m1KRagReKdOulGQgMhcAg
一位经营鬼才的自白：7—ELEVEn创始人亲述零售帝国背后的故事,铃木敏,管理_创业,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1T7WeB8REeC6keXkytx9Vbg
平台革命：改变世界的商业模式,杰奥夫雷G.帕克,管理_创业,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1omlNNq87LvDRId3eRfa-bA
光环效应,罗森维,管理_创业,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1E0WbwyE8dWkjUFunF6E9jQ
斯坦福大学创业成长课,李笑来,管理_创业,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1ktEOBfZfrWXR5hoU9n2fSA
