书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
运营的秘密：解码大公司的运营方法论,黄杰民,类型出错页面为40,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1afaFbxW0XnzpU3w1kw4fnA
走进我的交易室,亚历山大·艾尔德,类型出错页面为40,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1j5QIr3VhNj0931ypP0hbVQ
7步签单,大卫·桑德拉,类型出错页面为40,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1-1e3JCu07TdxsqNmSB3G5Q
一分钟说话,伊藤羊一,类型出错页面为40,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/10V1yIAqeMJ14nJCozQnX6g
辛丰年音乐笔记,辛丰年,类型出错页面为40,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1gTrX-is_Xf7R-870QiBekw
心理营养：林文采博士的亲子教育课,林文采,类型出错页面为40,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/14friku9thR7Zn5a7u9A1Fg
心理画外音：跨越10年的心理咨询个案,严文华,类型出错页面为40,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/18-lG6z_o10q-1kd9h5uI2Q
我的肩膀，她们的翅膀,黄磊,类型出错页面为40,7,百度网盘(提取码:6666),https://pan.baidu.com/s/19Y4d-_WQ-y-8czJL3q8PFA
魏特琳日记,明妮・魏特琳,类型出错页面为40,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1X6fhi3acjkWrP8Vkd7k-Yg
唐宋传奇集,鲁迅校录,类型出错页面为40,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1SQ1DERdCaWyeEaS9nXSveQ
身边的逻辑学,伯纳·派顿,类型出错页面为40,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1SLxNGOHalBHbxROkmjY5cg
日本人为何选择了战争,加藤阳子,类型出错页面为40,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1n0FZBS8AnfLNdOd1UYMJZQ
骗经,张应俞,类型出错页面为40,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1SZ2ZaaUhj5DkMcVhC8Adug
偏执乐观：诺基亚转型的创业式领导力,李思拓,类型出错页面为40,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1T0r3b6BxdVQXhTuXUeJAEg
魔力的胎动,东野圭吾,类型出错页面为40,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1m81wC8MaBNFqG_hGnHL-hQ
马耳他之鹰,达希尔·哈米特,类型出错页面为40,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1L5SRY4iW8w6RF3uCrIjBzA
借钱：利息、债务和资本的故事,查尔斯·盖斯特,类型出错页面为40,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1PGKDs94HZboDfwWpfZ_t7A
幻世浮生,詹姆斯·M·凯恩,类型出错页面为40,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1DsL7MV2EvrbnIriQ6ks2RQ
