书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
赢单九问,夏凯,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1XpGlzW-YmAH_xuvaYxrHvw
信任五环：超级销售拜访技巧,夏凯,广告_营销_销售,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1QKCaI1BKWseK2UfSFAaomg
我知道他想看什么：用内容营销打造品牌影响力,沙建军,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13pUiO8_C_7eneG18iyafJg
消费者行为学,迈克尔·R. 所罗门,广告_营销_销售,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1gKIzhzgP-wSk3oC2jtQdFg
电话销售实战训练(白金版),李智贤,广告_营销_销售,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1WHzDJ5T0jE3LQnsvWJid7Q
迭代：新商业，新媒体与逆袭之路,沈帅波,广告_营销_销售,7,百度网盘(提取码:6666),https://pan.baidu.com/s/17GKbonDpXUuf3uVcFkIxkw
新零售：低价高效的数据赋能之路,刘润,广告_营销_销售,8,百度网盘(提取码:6666),https://pan.baidu.com/s/11oWEEwkyjZkvaG9YTVT8MQ
市场真相：看不见的手与脱缰的马,杰克D.施瓦格,广告_营销_销售,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1MfYqovLPWqn-mijaUVpSKA
品牌魔方：6维度成就冠军品牌-,冯帼英,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1QjWntNl_q2_sLKBiqecxfw
营销：人人都需要的一门课,郑毓煌,广告_营销_销售,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1EufB_3CWK4MLV_Mi2waUrw
抢占心智,江南春,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Bc6o2M9SBo8P04PtTUOmwQ
顾问式销售团队,陈关聚,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13LikOc7hs3_33eGCB_taBw
销售的革命,尼尔·雷克汉姆,广告_营销_销售,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/14p2927fgRv9FQfaBI75g3Q
恨着恨着就爱上了：杜子建谬论集,杜子建,广告_营销_销售,6.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1jgm7b_vOGmQ79gfN_4HwRg
关系力：玩转全民社交时代的人脉销售技巧,蒂姆•邓普顿,广告_营销_销售,7,百度网盘(提取码:6666),https://pan.baidu.com/s/1HyRtVOvGdP3tBiUPRDTRxQ
新媒体文案创作与传播 (互联网+新媒体营销规划丛书,秋叶,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1ELTwtmr_mXL4cgG_x7OEdw
深入浅出数据分析,迈克尔•米尔顿,广告_营销_销售,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Lf12uab12iFm5A8sMREJfQ
新媒体营销圣经：诱，引诱，引诱，出击！,加里•维纳查克,广告_营销_销售,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1f2m38gf93VvDcbUTpYAJUQ
那些让文案绝望的文案,小马宋,广告_营销_销售,5.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ltIbRs4LTQoyrEFfspf0Jw
新零售：吹响第四次零售革命的号角,范鹏,广告_营销_销售,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1SRxDNeW9wIbKS36IG1LFcA
初识传播学：在信息社会正确认知自我、他人及世界,埃姆·格里芬,广告_营销_销售,9.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1HbcsHAtYaZmo5XBNmpPM-g
大品牌大问题,杰克·特劳特,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1mTjz-fJVlkNyOMkVzQt0pQ
视觉锤,劳拉•里斯,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1xDiRsyXhac0cFSylvmn5lg
品牌领导,戴维•阿克,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1_pVnJiYpOVgzwohr1rcuFw
广告大师奥格威：未公诸于世的选集,大卫·奥格威,广告_营销_销售,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/153uwbHT9kCau4RAH47JStA
奥美的观点6,奥美公司,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/18oxYCoMt7mUVDcBupa3uVA
大数据营销：定位客户,麦德奇,广告_营销_销售,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1MlN8V_ftNQxHxdtLsWM2LQ
品类战略,张云,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/11qFJZwsIQXt8CO679YmXHQ
对空言说：传播的观念史,约翰·杜翰姆·彼得斯,广告_营销_销售,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1_WU3oT4KC9bAXaRMRC2f3w
定位：争夺用户心智的战争,艾·里斯,广告_营销_销售,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1ae07k7YM_8lg5FJffNbLzw
新战略营销：经过世界一流企业验证、独一无二的成功营销体系(第3版),史蒂芬・E.黑曼,广告_营销_销售,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1_KZeqlzWZRGR9B1FglFLAQ
痛点：挖掘小数据满足用户需求,马丁·林斯特龙,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gqEPj6gwObrANGnNyxsEZQ
爆款文案,关健明,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1eT7idTze6OADL7E6XOS3Ow
连接：顾客价值时代的营销战略,施炜,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1e8rwIc8DArf-xavdDbjK8w
流量池,杨飞,广告_营销_销售,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1HXONHIMpLL0l-DYCA_Fvkw
销售就是搞定人心,连永明,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/19lsWuZjJ-vRFJIwrXdH5Ww
永远的零售：厉玲的零售经营哲学,厉玲,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1AB0Hjj--k_2eHGbxadKtOw
"回头客战略：交易额越高,流量成本越低的经营模式",谢家华,广告_营销_销售,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1sWeVquzuhamnSUMpQ8yPXw
销售就是要玩转情商：99%的人都不知道的销售软技巧,科林•斯坦利,广告_营销_销售,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Jctlol7fQP_vrd2D3wTnMA
交手,何常在,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1kUDNhg7
网红经济：移动互联网时代的千亿红利市场,袁国宝,广告_营销_销售,5.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1V_jsBbTHhxtb43D68ctwfw
卖轮子：选择最佳营销方式,杰夫 科克斯,广告_营销_销售,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1o7LNXIq
重新定位,杰克·特劳特,广告_营销_销售,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1WP3425Xp4RyRKEuPXzmnqg
文案训练手册,约瑟夫·休格曼,广告_营销_销售,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ebfFQGdV4TmxC9V3LhK3HQ
水浒行动,谭晓珊,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i43zSIp
小心广告,刘书宏,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYRizz2
打造传媒女王,,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slCTG4H
跨越鸿沟：颠覆性产品营销圣经,杰弗里·摩尔,广告_营销_销售,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1rumsJDzxinaAwQpT1pJm3Q
破冰：一个销售经理的手记,郑涛,广告_营销_销售,5.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1001Pj-YXlawqwtYfFn3QUw
虎口夺单,马克,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfsU2YJ
问鼎：世界500强的职场法则和商战技巧,崔伟,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cL4XSq
