书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
星空帝国 中国古代星宿揭秘,徐刚,科普,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1j3APTQaXBQh2fCS8hMbWZg
现实不似你所见,卡洛·罗韦利,科普,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1QRnF_4iza-NlWtGxQQr3xw
表象与本质：类比，思考之源和思维之火,侯世达 & 桑德尔,科普,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1K__M7spUX08WOt3BWMC_bg
明亮的泥土：颜料发明史,菲利普·鲍尔,科普,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1Z0XPGE2t9l3wn5Xvu5d6rA
鸟类的天赋,珍妮弗·阿克曼,科普,9.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1himm8v9JBIeHVk6Npj8-Ng
饮食的迷思：关于营养、健康和遗传的科学真相,蒂姆·斯佩克特,科普,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/19yKEr0T_sWiQiKggRKO5kQ
生命是什么,埃尔温·薛定谔,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1k4nXcLdFkwUnwrsCU8a96g
极简数学,克里斯·韦林,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1CMqNqY2pjssQoImu3Q6JXA
量子世界的发现之旅,迈克尔·S.沃克,科普,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1aMQ5qcuJUfGDuokV96qBHw
1分钟物理,中国科学院物理所,科普,8,百度网盘(提取码:6666),https://pan.baidu.com/s/18uQKQA1q2CBaq8jc0RqPyg
一想到还有95%的问题留给人类，我就放心了,豪尔赫•陈,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/16iy03gI6D5hRuPNJ_PqMow
你有你的计划 世界另有计划,万维钢,科普,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1y_MXeBRklT38ZL5QEGucFg
破解生死大数据：一个医生与70亿人的健康真相,杰瑞米·N.史密斯,科普,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1j3ox4eiDvhGgMK2URY7_AQ
人工智能的未来,Jeff Hawkins,科普,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZsKGjrSU5OiTZ9PMg8LR7Q
数学传奇：那些难以企及的人物,蔡天新,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5RpSHRL
计算进化史：改变数学的命运,吉尔·多维克,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5SUC1pF
极简新药发现史,彭雷,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5iV8Ktj
吃动物：一个杂食者的困惑,乔纳森·萨弗兰·弗尔,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/56rRvmF
医生最想让你做的事,约翰•瑞迪,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5D3cuvt
联结：通向未来的文明史,詹姆斯·伯克,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/55pbNDk
十问：霍金沉思录,史蒂芬·霍金,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5PTdpY3
鱼什么都知道,乔纳森·巴尔科姆,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/5sw81G5
思维：关于决策、问题解决与预测的新科学,约翰•布罗克曼,科普,0,百度网盘(提取码:6666),https://share.weiyun.com/528moLm
皮肤的秘密,耶尔•阿德勒,科普,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1m0lSnsICgyUjk7r11LfWtw
美的进化,理查德·O.普鲁姆,科普,1,百度网盘(提取码:6666),https://share.weiyun.com/5eQcuNB
写给全人类的数学魔法书,永野裕之,科普,1,百度网盘(提取码:6666),https://share.weiyun.com/56lW7x4
一个观点，不一定对,黄章晋,科普,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1EY7KPh0JvKypXaChDXa06g
科学究竟是什么,A.F.查尔默斯,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1q_lzDsgRBTUD9Y0-aIjWVg
我们如何走到今天：重塑世界的6项创新,史蒂文·约翰逊,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Wht9KLtjKT3bDXO5BVp_UQ
只有男科医生知道,成都下水道,科普,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1W3_s4q4WjsQz1JjcclH_EQ
这书能让你戒烟,亚伦•卡尔,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1MpNXKWw38Dj5dVm_NmKDzA
现代科学简史：从蒸汽机到䴙䴘求偶,大卫·奈特,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1VHPaV21Src3djGHyOneA6g
太阳系简史,约翰·钱伯斯,科普,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1z373eiFJFBABiodKV7mYdQ
冀连梅谈：中国人应该这样用药,冀连梅,科普,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1VDB2Oirg-Ai9No3SyquidA
宇宙简史：起源与归宿,斯蒂芬·霍金,科普,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1uNAWgXRKG8n-64H4U1pDdQ
生命密码：你的第一本基因科普书,尹烨,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gWrrO8SjPyVL1FSOfiO7qw
怪诞脑科学：战胜焦虑、混乱、拖延的自控术,盖瑞·马库斯,科普,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Xmr-eVDTLQhbLsaZSvg6QQ
迷人的技术,凯莉•魏纳史密斯,科普,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1IxCY4Y1Df38y6oGbWCvLNQ
如何给狮子剥皮,斯塔基,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1po3iw7w_YUxh1OilPczNmw
纸上动物园,夏洛特·斯莱,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1PBMuiVqBLTt5OfXGz0_cGw
超人类革命,吕克·费希,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1QZIl60pQ2s1l3FebWahXrA
冷门知识大全集,朱立春,科普,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1057-9afzEj-Ocp_huaHHRQ
打开一颗心,斯蒂芬·韦斯塔比,科普,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1zILJfXLKCFxpXFA_cYbPxg
时空的秘密,霍弗特•席林,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1fElMNvdVfnnHvLmI8vNkhQ
双螺旋：发现DNA结构的故事,J.D.沃森,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1AmERsFFXIbNed6zmlTJrzg
永生的海拉：改变人类医学史的海拉细胞及其主人的生命故事,丽贝卡·思科鲁特,科普,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Gffm7wWjXTknbw_ZEpzswg
荒诞医学史,莉迪亚•康,科普,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1FKnfPCoBLwrpgVwERAjaIw
纸上动物园,夏洛特·斯莱,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1-QjYzTGmAxYNL-YAVZocSg
云彩收集者手册,加文•普雷特-平尼,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1qTgHRkA46Cr8rIVOr-v6uw
脑内革命,春山茂雄,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1q8BCZ_0bBFLbzgI1S89KuA
进击的智人,河森堡,科普,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/13nBmohCrcV1cnMaqa0Hgcg
戒瘾：战胜致命性成瘾,阿齐可·穆罕默德,科普,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1VXFdMJU5vhg6bTF4bx-sUg
茶杯里的风暴,海伦•切尔斯基,科普,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1odxBTMyW8PMLx1TgXcf4Qg
大自然的社交网络,彼得·渥雷本,科普,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/17bwM8lLeunXnQJWe9_ePlw
高血压看这本就够了,陈罡,科普,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1er8pOrdytcmyT7Hs7plNeA
癌症·新知：科学终结恐慌,李治中,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1tKEF-MYFo4Fu7DA6I7KvSw
重新设计生命：基因组编辑技术如何改变世界,约翰·帕林顿,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1c-0xAVhz7eXZCoMWO25CkA
爱因斯坦与万物之理：统一路上人和事,张天蓉,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1FUwr3T3ikj9c9xRPbnEepg
QED：光和物质的奇妙理论,R•P•费曼,科普,9.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1sZe7QNJxD_H22Fsh4vg9jA
普林斯顿微积分读本,班纳,科普,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1yT9UwCKZoPSWY3aWtYiCkw
黎曼猜想漫谈：一场攀登数学高峰的天才盛宴,卢昌海,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1TmhxbPLOjHY0N7eWF5vWyw
永恒的诱惑：宇宙之谜,张天蓉,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1BWdTm_TC6JdnRmJGTOLrgQ
上帝如何设计世界：爱因斯坦的困惑,张天蓉,科普,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1gML1IOCZsObeC9pwr1jvLQ
上帝之饮：六个瓶子里的历史,汤姆•斯丹迪奇,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1pxWbOeohAa6L0bgYnll9wA
囚徒的困境,庞德斯通,科普,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1lNIIrb4THmArHZFjhW-n8Q
迷人的材料,马克·米奥多尼克,科普,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Zba39eS_SblHovUbjN9jJA
癌症·真相：医生也在读,菠萝,科普,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1O6sLQF6MWt7RjUNETP3tfw
光电帝国：爱迪生、特斯拉、威斯汀豪斯三大巨头的世界电力之争,吉尔·琼斯,科普,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/14Eh0nmvZOAJPhs5zyXQxtQ
逻辑的引擎,马丁·戴维斯,科普,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1_j9uKJyQEPMfmvskwq3fpg
沈氏女科600年：女人会养不会老,沈宁,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1oG08X1ejIS3wP24LzjxqLg
糖尿病看这本就够了,陈罡,科普,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Vj24lXvhI4XcxlURSnsgrw
盐糖脂,迈克尔•莫斯,科普,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1noKE2xjiAn0uudMIkfrdaQ
超越人类,伊芙·赫洛尔德,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/12N0LTANIf1tFVprybeqEhg
人类的明天,席里尔·迪翁,科普,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1O74abV2A8k_HDda8NDzmGQ
连接组：造就独一无二的你,承现峻,科普,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1SjJIeYiCS9mNwIndNUXjCg
科学也反常：“科学咖啡馆”怪谈,科学咖啡馆,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1EQZHEgHkvpxUK9VuEesvZQ
给忙碌者的天体物理学,泰森,科普,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1Z5CObvHco9t3I55HtWV9dw
今日简史：人类命运大议题,尤瓦尔·赫拉利,科普,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1EzCfEjZBz2ZdTvM2wNei8A
醉汉的脚步,列纳德·蒙洛迪诺,科普,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1wAvePmemzVV1VjZHSq1luQ
迷人的数学：315个烧脑游戏玩通数学史,伊凡•莫斯科维奇,科普,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1i7eY7m1dRslEqbq_zcdP-g
统计数据会说谎,达莱尔•哈夫,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1W-797kSHAHJUamMieVvk2w
杂食者的两难+为食物辩护+吃的法则,迈克尔·波伦,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1etAVOczxSa4miSgmZ4wXQA
只有医生知道3,张羽,科普,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1_ESPNNn8kxvXWoOYFtMlLg
问中医几度秋凉,艾宁,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1rx021s76d6EDsKPmIQz-tg
算法之美：指导工作与生活的算法,布莱恩·克里斯汀,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1vfK0SwrOVzfW5a27DDaw2g
智识分子：做个复杂的现代人-,万维钢 ,科普,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/175A_yAUADuE4u1l4Xpe7FQ
进入空气稀薄地带：登山者的圣经,乔恩•克拉考尔,科普,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1WXhuyTVlOFBVGrEJH4t-lg
颠覆性医疗革命：未来科技与医疗的无缝对接,赫塔拉·麦斯可,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1djMrVZKIRlO49BWqQaIyVg
癌症的真相,泰•博林格,科普,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1GW3LuaEEvc30bnWCZEwe2g
数学简史,蔡天新,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1yaPCnQFoXT2fgxlXf0jjmw
失衡：为什么我们无法摆脱肥胖与慢性病,马胜学,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1JEp5VOy0GuYVDFtnXVNuTg
宇宙的琴弦,B·格林,科普,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/13tnLmSOL2urbnOuSr_OVNw
吃货的生物学修养,王立铭,科普,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1C4Kx5U-Em430sBqr7IEA_Q
认识身体,加文•弗朗西斯,科普,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/13VOhlorjQTjcxm3PXC_aoA
草木缘情：中国古典文学中的植物世界（第二版）,潘富俊,科普,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1MIJgTT2gm9II9Km5XLdX1Q
知识大融通,爱德华·威尔逊,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gJ479RArZMfrqlk5s8oopw
探索生命系列：缤纷的生命+生命的未来（共2册）,爱德华·威尔逊,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Zu0TEeZd5rDnOF8jysuvmw
弯曲的旅行,丽莎·兰道尔,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1EnGSvRVMo3wQsrJPTO-hyA
叩响天堂之门,丽莎·兰道尔,科普,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1m5G31NKaRLmuoWuOILqtqg
黑洞不是黑的,史蒂芬·霍金,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1qmTyQvWman0_iozwu_zfOg
符号学：符义分析探索集,茱莉亚·克里斯蒂娃,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/16769loBGDu3bxn9ublMKqg
荷尔蒙战争,科迪莉亚·法恩,科普,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1E-sJxMQ4-qDDNpTp-wg9zw
我们为什么生病,R.M.尼斯,科普,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/13pNNj1s2ciICzuk8m17HcQ
