书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
唐诗排行榜,王兆鹏、邵大为、张静、唐元,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1kVhlILp
宋词排行榜,王兆鹏、郁玉英、郭红欣,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1gfcAlLx
汪国真诗集 : 心灵深处的对话,汪国真,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1bpIF2KB
纪伯伦散文诗全集,纪伯伦,诗歌,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1tBnw0LWlZywcnwlKu5sq3g
新诗讲稿,废名、朱英诞,诗歌,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1-YXuJGaTHkrgBqyGAD5F3g
唐五代名家词选讲,叶嘉莹,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFbrLpJ
天上的白云真白啊：乌青诗选,乌青,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qXEAHgo
多情却被无情恼：李商隐诗传,苏缨、毛晓雯,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i5LkLvf
只为途中与你相见,苏缨、毛晓雯,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8RgnMy
我纷纷的情欲,木心,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jIi8UrW
经典英语谚语赏析（中文英文）,祝宝珠,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSbpv8Y
南宋名家词选讲,叶嘉莹,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jH8FR2Q
二十首情诗和一首绝望的歌,[智利] 巴勃罗·聂鲁达,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hssejqs
英国诗选,王佐良,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o86eP9g
烟花易冷，那些我们不曾懂得的爱情,徐志摩,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1nuGabZb
蒋勋说宋词,蒋勋,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o786fP4
郭沫若诗集,郭沫若,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hs7CHFI
海子诗全集,海子,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSmHYU2
最忆西窗同剪烛—纳兰容若词全集,纳兰性德,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2NZKU8
唐诗鉴赏辞典,萧涤非,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1dFa8FYx
全宋词,唐圭璋,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1geRFXEN
人生若只如初见,安意如,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hsi8TnQ
园丁集,泰戈尔,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pKDm8WV
云雀叫了一整天,木心 ,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1eS0TRsY
乐府诗集,郭茂倩,诗歌,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8ngy50
神不楞登：精神病的诗经,罗蛋塔 ,诗歌,8.8,百度网盘(提取码:6666),http://pan.baidu.com/s/1c151gdU
叶嘉莹说阮籍咏怀诗,叶嘉莹,诗歌,8.3,百度网盘(提取码:6666),http://pan.baidu.com/s/1eSdmH8m
人间词话,王国维,诗歌,9,百度网盘(提取码:6666),http://pan.baidu.com/s/1hsjotlq
月光落在左手上,余秀华,诗歌,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1SPzzdNnlrSOJdMJqWdZMig
七里香,席慕蓉 ,诗歌,8.9,百度网盘(提取码:6666),http://pan.baidu.com/s/1dF6uHcH
在黑暗的河流上,席慕蓉,诗歌,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1lTHt7RW2WqNc05zhDzJ25Q
摇摇晃晃的人间,余秀华,诗歌,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1YY-r9QVUgVIiqBHBzi0FAA
飞鸟集（中英对照）,泰戈尔,诗歌,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1w79vAD1nZ8WClIJDN2QwnQ
