书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
乐队女孩,金·戈登,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5Jky4Aa
张居正大传,朱东润,人物传记,0,百度网盘(提取码:6666),https://share.weiyun.com/5trY3FQ
奥巴马回忆录,奥巴马,人物传记,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/15dX7hAwQ1tnXAd46bBuv9Q
吃透曾国藩,谷园,人物传记,1,百度网盘(提取码:6666),https://share.weiyun.com/5guo5zP
与魔鬼作斗争：荷尔德林、克莱斯特、尼采,斯蒂芬·茨威格,人物传记,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1JwfRVmWkAd1biEfFRoRd5A
我这一辈子：老舍自传,老舍,人物传记,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1oTpnnayL91KSDvAi2l5SYg
第一个人,阿尔贝·加缪,人物传记,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1InJryje43BDt9nhwyvGfTA
巴菲特幕后智囊：查理·芒格传,珍妮特•洛尔,人物传记,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1thhLIHUSGUjhxlnwusUueA
重生：苏珊·桑塔格日记与笔记（1947~1963）,苏珊·桑塔格,人物传记,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1PthohvZfw0TlsuEZxcT-CQ
郑爽的书,郑爽,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1U1geBk2YwEh47LCkCTEM0A
杜甫传,冯至,人物传记,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1EMDUgXtySJid39rVgPN8lQ
他缔造了哈佛：查尔斯W.艾略特传,亨利•詹姆斯,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1oIzdAi6CYhCMGy1GLFpaNg
艾柯卡自传,李.艾柯卡,人物传记,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1m23mm0iuMTJ02oYZenCgbQ
认真地年轻，优雅地老去：杨绛传,王臣,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1OhTwppIJzf7LlznDujc-5A
秦始皇传,石静,人物传记,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1n5jx4kcO_Y1Vrg3Y8HttKQ
成为：米歇尔·奥巴马自传,米歇尔·奥巴马,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1rcqcgpbsoJwc2dIC0vx8Aw
J.M.库切传,J.C.坎尼米耶,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1pv677vd8w1eLT62kV9hUwg
天地九重,杨利伟,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1jj2Hjyrwskhi0u68M_MH2Q
且以优雅过一生：杨绛传,桑妮,人物传记,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1XAldzBfA4y46HqvBXY5uBw
C罗传-吉列姆,吉列姆·巴拉格,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/10O-OTrijF_5dRcCcLI4Xzg
沉浮与枯荣：八十自述,江平,人物传记,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZGGhat5SK3uw36NjXTb-0g
不合理的行为,唐·麦卡林,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1-GXUPFK9Y6rZl4iFSKp9Ag
椰壳碗外的人生：本尼迪克特·安德森回忆录,本尼迪克特·安德森,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1tB4NPO76BN3s6I7wfMWsiA
九个人,张新颖,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1QRlUX_Hb00J572DAp2f_mg
褚时健传,周桦,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1-_1trGgIXLCGLtyZ_VTlXw
俾斯麦与德意志帝国,埃里克·埃克,人物传记,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1BC92MMpt_vhicsUz0sQvYA
风雨独立路：李光耀回忆录（1923-1965）,李光耀,人物传记,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1iIiJc2sAm8gyeJImoGdcWA
少年凯歌,陈凯歌,人物传记,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1eLeeiN34JaINlxf38W92hw
梅西（上、下册）,吉列姆·巴拉格,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1e8D8Jg0oPuaHaUIJe_zf6g
我的世界观,阿尔伯特•爱因斯坦 ,人物传记,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1E7F54uPTsy7POubUJ780aQ
鲁迅作品十五讲,钱理群,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1ytZ8FwMb1OBpM6-8Slu5Hw
宋家客厅：从钱锺书到张爱玲,宋以朗,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1e3nhP26udFYaeeHVUVmn2A
风云侧记：在人民日报副刊的岁月,袁鹰,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1E3toMSfHswdJZwZYWTOGUA
道路与梦想,王石,人物传记,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/16RrLPExac4c2C0bQuMY6gg
不过如此,崔永元,人物传记,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1r7HmXuZbACqrNKextdofmQ
我身在历史何处,埃米尔·库斯图里卡,人物传记,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1SKQoTPh2zHKCy9vRFAx_9Q
龚楚将军回忆录（上、下）,龚楚,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1glHeEShW_TtIfi5FDtoNrg
沈从文的前半生+沈从文的后半生,张新颖,人物传记,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/13mjDkrIIuULVlalg3yLWsQ
战神粟裕,关河五十州,人物传记,0,百度网盘(提取码:6666),https://u18798378.ctfile.com/dir/18798378-30731272-64e443/
伦勃朗1642,张佳玮,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14IAp31C1LH2WzNE8fu6OEw
撒哈拉不哭泣：三毛传,艾文茵,人物传记,5.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1FqCD7RJ6jfOALivRSebztg
陈查理传奇：一个华人侦探在美国,黄运特,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/11uFPZmRDwxKPBDmL7pfsgw
帝王师：张居正,度阴山,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1w8HNeKSqEVs5vUWUEYkquA
咏远有李,李咏,人物传记,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1wy_yhblCXgfSKlyfP9w5YQ
东野圭吾的最后致意,东野圭吾,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/12chKc48iJ7Ijij_aPloEbw
宋徽宗,伊沛霞,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1DO8JK4v7_XKVUmhmueSE1g
列宁传,季正矩,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1Fih35RlZuMsO71I-IKyL0w
我在通用汽车的岁月：斯隆自传,小艾尔弗雷德·斯隆,人物传记,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1H_SLkyTg5lmh2awVjh9zEg
怒目少年,王鼎钧,人物传记,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1f8bFuoKwhDjRqEjIOpmiDw
阿加莎•克里斯蒂自传,阿加莎·克里斯蒂,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1kKKOzf3ABpsMjZklYGKjgQ
我的艺术生涯,斯坦尼斯拉夫斯基,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1f-ZxMamBpy7p30Rz8wnH6A
杨度,唐浩明,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1TE3kU40wkTPDmPwSZpUTKQ
成为乔布斯,布伦特·施兰德,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1TAd7ykN_PX4jlWAPUPE4zg
水流云在：英若诚自传,英若诚,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1fBBwLXqtQ8-fySXn2u-LqA
永不后退：迈克.泰森自传,迈克.泰森,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1F6K4iMJ5uRSQwkZEM2DaGQ
哥德巴赫猜想,徐迟,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/13BLUeyiRxU5OGN32vgnbSw
刘亚洲文集,刘亚洲,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1i3B9nVcaMV8NvdHepzqdWg
费正清中国回忆录,费正清,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1D5BQnRvfdNpZS_asXRUuYA
大学与大师：清华校长梅贻琦传,黄延复,人物传记,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1wjiczFCagTs2D6Oo3xIL2g
雷军传：站在风口上,陈润,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/146Tx5ta0n7i4GKoT3v9SQQ
秋籁居忆旧,成公亮,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14cL0BNsafHV0EIjSrynN-w
曼德施塔姆夫人回忆录,娜杰日达·曼德施塔姆,人物传记,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1SHWdHYxLLyQPSMErwCP1Wg
列奥纳多·达·芬奇传,沃尔特·艾萨克森,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1H5wVc1gF6oUtdnJeIJjwuQ
王石说：影响我人生的进与退,王石,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14rrAN_hh77ewzRYaJ-Oi5w
民国清流那些大师们（全四册）,汪兆骞,人物传记,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1-QvS9Wd1PUiw25fgeOq8iQ
胡适之先生晚年谈话录,胡颂平,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1WTJuWvWtT1YTpldGmUvKQQ
断头王后：玛丽·安托瓦内特传,斯·茨威格,人物传记,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1K9qBFMKRc79Qkqn_x4N2ww
基辛格：理想主义者,尼尔·弗格森,人物传记,8.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1RTaRB_gY1I1jbY5TYjl4wQ
亲爱的提奥：梵高传,文森特·梵高,人物传记,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1xBzhCEUKBJmZIWDD5pU3WA
杜尚传,王瑞芸,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1gk1gS0PVNowD2hrLF9LraQ
弗洛伊德传,彼得·盖伊,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1XcrlDIxCXTBEvzLD_cLsbA
米歇尔·福柯传,迪迪埃·埃里蓬,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1feW2fpNzDQtwZadbV1YIsQ
希特勒传：从乞丐到元首,约翰·托兰 ,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1_LDldu9AqoshB5whhF2Gag
只是为了好玩,Linus Torvalds,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1RartR9Ie9lQmEM2m5UdLCQ
汉密尔顿传,罗恩·彻诺,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1BneBI8BdmHZKb2_aChJcOw
我坚信,奥普拉·温弗瑞,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1MUffeH3PMRL5e3l1i68nCQ
武则天 ：从三岁到八十二岁（1、2、3、4、5）,王晓磊,人物传记,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1O_O6eL7Mf79Oa8CsFIaPQg
豆腐匠的哲学,小津安二郎,人物传记,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1skdehjkURp-AzaAZ7gefiQ
凯南日记,乔治·凯南,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1tJNnlP5xOD7PYAAdjEvoww
揭密日本情色王国：歌舞伎町案内人,李小牧,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/15sCOpOLdWgyCk1zVjBaptQ
加缪传,奥利维·托德 ,人物传记,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1Gi3v1ZGJehv6KHynUCJvBg
我是落花生的女儿,许燕吉,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1GZnDU7VCAMD_Axg4kAN_Ww
滚雪球：巴菲特和他的财富人生,艾丽斯·施罗德,人物传记,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/13hd7enmHCgAcUoWbAgpVWg
一个国家的起飞：中国商用飞机的生死突围,刘济美,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1YaSTMl0VKZJ4HhfdoR4vog
美在天真：新凤霞自述,新凤霞,人物传记,7.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1UTu7TJdkx_ltRgDpIGJGug
魔灯,英格玛·伯格曼,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1ODnPTOXyQMwTpbCMk6wU0g
五百年来王阳明,郦波,人物传记,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Uob0Y7Oc3i08K6sThZTzCw
赫鲁晓夫全传,威廉·陶伯曼,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1bZe3Nb1zbiFUm14F-VoMnA
林彪画传,舒云,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1nQtTwJLmueTNNKBKC5axBA
归去来,陈年,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1qzk7uTQGfD7HzbT-kZSqUA
鲁迅传,许寿裳,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1T33cf_ErPHduSFj25_yiIQ
权力之路,罗伯特·A.卡洛,人物传记,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1hkJ4mHqYjbZprsOdcIe3sg
周鸿祎自述：我的互联网方法论,周鸿祎,人物传记,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1rjwlGzecTdqONSfXxonz6g
海德格尔传,张祥龙,人物传记,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/11eemzt_Ma4SZ3M3kBwKI0Q
