书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
血战天下：战国全史,醉罢君山,历史,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1KNUQRMINKJuwO8EJZAKZfA
不敢懈怠：曼德拉的总统岁月,纳尔逊·曼德拉,历史,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1TsCEhUXWBlwGiIhhEY4P7g
清稗类钞1234,徐珂,历史,9.1,百度网盘(提取码:6666),https://pan.baidu.com/s/15naDYxrnsAh397iGZt1Png
简读中国史：世界史坐标下的中国,张宏杰,历史,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/12KADkl14qjo-9KT1ojMvSw
进击的局座：悄悄话12,张召忠,历史,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1dKChZwjdbsN6ou27y5t33Q
总统班底,卡尔•伯恩斯坦 鲍勃•伍德沃德,历史,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1ShPmgkIPwOW8WjUvh3910w
无路可逃,冯骥才,历史,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1VZziZfJcmFRgpiYcyKVzGg
宋史十讲,邓广铭,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/107YyHcm_6u01QaLq6XO3iw
儒墨道法的救世之策,易中天,历史,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/12U46-qVDHWb6XSy57g0GaA
墙垣边的人类：从建筑艺术看人类文明,尉陈,历史,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1MSrNWNOe7tmbCTMZvSGBqw
企鹅欧洲史·追逐荣耀：1648—1815,蒂莫西·布莱宁,历史,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1WSL8a-PN_2n4O3XxW-FsIQ
汴京之围：北宋末年的外交、战争和人,郭建龙,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1VsA-y5K4QnxwEeOlpcJjZg
回访历史：新东欧之旅,伊娃·霍夫曼,历史,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1a_CjP-hrt0ghEI9LVgxpnA
纵乐的困惑：明代的商业与文化,卜正民,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1Ngjt4tVNE6AAnSpUAcs_Xw
敦煌学十八讲,荣新江,历史,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1LAnFHqdTtrbfQLQkcTxJeg
贞观长歌,周志方,历史,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1JMXN2WSHz7Vb3wOUGodx6A
中国历史十五讲（第二版）,张岂之,历史,6.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1rwMvyDME97YG2xdrY4Eang
我在故宫修文物,萧寒,历史,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/16gr2K6nMfTrT4fn0z6Cq2w
企鹅欧洲史·地狱之行：1914—1949,伊恩·克肖,历史,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1gO78CvAqvNsWWWeC2X9mHA
从神话到历史：神话时代 夏王朝,宫本一夫,历史,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1p3nHRcSBJ6cgQ0J93NUkOQ
波峰与波谷：秦汉魏晋南北朝的政治文明,阎步克,历史,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1aEu-HirozED977BpgG2o2g
正义的人质,张秋,历史,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1pOjDAVFGKvOBXPJRcGGFmQ
狼烟北平,都梁,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1HWiRG4hGSL-e3bfBIKVMGg
二十五史说略,王钟翰,历史,8,百度网盘(提取码:6666),https://pan.baidu.com/s/1LqbJNANdkkq20Gbocmps7w
中国神话史,袁珂,历史,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/15gOGxMiRngR4q0Q85QkvNw
万用之物：盐的故事,马克·科尔兰斯基,历史,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1T32ipaWCe8uEGBTJI1PuGg
失去名字的女孩,玛莎·霍尔·凯莉,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1JXVtLZxjcsypgB-kxhDSTw
海国图志,魏源,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1TssLE6QFlsvTeQTr--aMJA
档案：一部个人史,蒂莫西·加顿艾什,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1mTkSXrrwMAChODWI24qbkg
埃及四千年,乔安·弗莱彻,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1RLrRKkQ4d7a8APK6q2jkyQ
世界现代化历程,钱乘旦,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1ujq9cEwVVkD9iNrk4_jBhw
始皇帝的遗产：秦汉帝国,鹤间 和幸,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1BEqD5mKOUQsSwSM4DXjMOA
三国兵争要地与攻守战略研究,宋杰,历史,9.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1sBJJbhg5YXtD0e13w1XVhg
乌托邦的年代：1968-1969 纽约,让-克劳德·卡里耶尔,历史,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1rfnp4hJMPOTNWAlLsLLw3w
海都物语（下）,盐野七生,历史,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1VpiTVr3gi4mQSJtO_Nob9Q
再见故宫,安意如,历史,6.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1Jfjqz48kE7Y4g4msdHMS0A
宫女谈往录,金易,历史,8.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1q0pKICzrYeTb7jCLZ_ZSrQ
唐山警示录,张庆洲,历史,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/12riA1b4cRxJdL2Y0tSZZRA
佛罗伦萨史,尼科洛·马基雅维里,历史,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1_OkPZHOeqe4Z_X8NH4CC9A
音乐的故事,房龙,历史,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/10SLUtrDigRrHPcINqOlIoA
权势转移：近代中国的思想与社会,罗志田,历史,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1uVj2xybUHguXvSbfW_o1rw
说战国：合纵连横,贾志刚,历史,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1qskzYbGLyUlWuYKwRBfIbA
南宋行暮：宋光宗宋宁宗的时代,虞云国,历史,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1IotvJTPainFqzmDO1vbdqA
此史有关风与月,张明扬,历史,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/19hZJpVX51_9T1fZcQ42d1g
卢丹的恶魔：法国神父“附魔”案,阿道司·赫胥黎,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1QER4DTtJKXUyfHU9-D6F8w
瘟疫与人,威廉·麦克尼尔,历史,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1T-svoBtrIM1kUnXQYrB3XQ
五个人的战争：好莱坞与第二次世界大战,马克·哈里斯,历史,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1rRtPm5swKMVuxD9hwOWznA
在深渊里仰望星空：魏晋名士的卑微与骄傲,北溟鱼,历史,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1brY8NpbU0XXTdLGFc2sCUg
迈尔斯教授讲世界历史（全6册）,菲利普·范·内斯·迈尔斯,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1D4eWlgaPMPNKAwNDspdTnQ
国防论,蒋百里,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/1yOlSUt7qoSx1xTU2i5kP-Q
大宋革新,易中天,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1s5740Mid-TE3G_rwyyhv_g
国史讲话全本（三册）,顾颉刚,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5hwY5H3
白宫岁月：基辛格回忆录套装(套装共4本),亨利·基辛格,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/508S8mL
风雅宋：看得见的大宋文明,吴钩,历史,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1ZwFfDWLuJ4maStdV6JTyLA
昨天的中国,阎雷,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/50z5A5O
文明的崩塌：公元前1177年的地中海世界,埃里克·H.克莱因,历史,8.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1OQMYmhM3IEbBLUQaOxV7mQ
马克思主义中国化史·第1卷 1919~1949,阿里夫·德里克,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/557N48s
棉花帝国：一部资本主义全球史,斯文·贝克特,历史,8.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1T8tmVQ5MRjyvTMfWNNKeKA
近代中国的乡土意识,佐藤仁史,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5WAnvqO
地中海与菲利普二世时代的地中海世界,费尔南·布罗代尔,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5dEX8OE
中国历史常识,吕思勉,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/53imJKD
大宋北斗司,月关,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5rJS9za
兴盛与危机：论中国社会超稳定结构,金观涛,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5x2MKE8
起源：万物大历史,大卫·克里斯蒂安,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5zMwFRe
日本文化史,家永三郎,历史,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1FXBx55_hS7ROTDLQg3MGxQ
海盗共和国：骷髅旗飘扬、民主之火燃起的海盗黄金年代,科林•伍达德,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/57Tj1Ov
最冷和最热的俄罗斯,杨白劳,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/52PIehd
安持人物琐忆,陈巨来,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5apOm04
东京百年史：从江户到昭和,爱德华·赛登施蒂克,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5GQ1JJG
无规则游戏：阿富汗屡被中断的历史,塔米姆·安萨利,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5FoV0cL
曹寅与康熙,史景迁,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5kizAkI
中国历史地理十五讲,韩茂莉,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5mTnnre
神祗、陵墓与学者,C.W.西拉姆,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/54ThXEg
北洋军阀史,来新夏,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5HC7NFg
海盗奇谭,盛文强,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5nAmXAQ
南华录：晚明南方士人生活史,赵柏田,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5vnkauI
明代的漕运,黄仁宇,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5xz87UA
一个普通中国人的家族史,国亚,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/52V13qC
易中天中华史：百家争鸣-,易中天,历史,0,百度网盘(提取码:6666),https://share.weiyun.com/5mkkM8p
大中国史,吕思勉,历史,1,百度网盘(提取码:6666),https://share.weiyun.com/5SxVa8A
看得见的中国史（上下卷）,童超,历史,1,百度网盘(提取码:6666),https://share.weiyun.com/58JvlC0
战争风云与回忆,赫尔曼.沃克,历史,1,百度网盘(提取码:6666),https://share.weiyun.com/5FvNWIB
制造汉武帝：由汉武帝晚年政治形象的塑造看《资治通鉴》的历史构建,辛德勇,历史,1,百度网盘(提取码:6666),https://share.weiyun.com/5UKD6gi
全球城市史,乔尔·科特金,历史,1,百度网盘(提取码:6666),https://share.weiyun.com/5KquRj9
欧洲现代史：从文艺复兴到现在(套装共2册) ,约翰·梅里曼,历史,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/16JRlVIFkHCIMgy84OiIluQ
历史的巨镜,金观涛,历史,9.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1TYlppQyfAjG0BHnLnCRDPA
企鹅欧洲史：基督教欧洲的巨变：1517—1648,马克·格林格拉斯,历史,8.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1cx4ffZAi_7OY9noRV8WrGQ
天崩地裂三百年：两晋南北朝的泣血悲歌,覃仕勇,历史,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Tpvbh4rXN2afmKliFUJHYw
顽疾：中国历史上的腐败与反腐败,张宏杰,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1RLHnSSNdbPxawrWHPDO1Ig
常言道,余世存,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1sW3gdLges9-Zd1oU4bXnIg
林汉达中国历史故事集套装共5册）,林汉达,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1NDvaplUb9TSGBEHZSfAfHA
晚明史(1573-1644)(下),樊树志,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/14k5efY5UwtwOJBhIZLXsxg
权谋高手李鸿章,雾满拦江,历史,6.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1jwJXzC-JkhQfKJOozA0Gaw
泥板上不朽的苏美尔文明,吴宇虹,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1z2-gU1tfSZY3doxwk1tLXQ
丝绸之路,米华健,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/15Y7UkK6ODEmsCNtSMiw7rw
厉以宁讲欧洲经济史,厉以宁,历史,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1MtdE6wTcVVtimjruzC7e0A
曾国藩传,张宏杰,历史,8.4,百度网盘(提取码:6666),https://pan.baidu.com/s/19_amnna25HZ8hMH6OOcKig
纲鉴易知录（上下册）,吴乘权,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1e64pJ1Rl9pAOWlMNOHMBkQ
法国史,杜比,历史,8.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1vPFJKKBU-t4qqjCMgamJXg
生而有罪,彼得·西施罗夫斯基,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1234SJuWnGnBqo-DSLP69Mg
隐公元年：一部另类的中国思想史,熊逸,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1cx7wzPuZLWmulWeV1t_d_g
崩溃和救援：美国股市百年跌荡启示录,斯科特·内申斯,历史,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1rPi0ncZMKPj3YkbEzkCz0Q
失焦,罗伯特·卡帕,历史,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1o-UYOPZ2042n0pd_Ph0b-A
美国内战回忆录（全景插图版 上下册）,U.S.格兰特,历史,9,百度网盘(提取码:6666),https://pan.baidu.com/s/1GAbf5QlVgsO8U0NJjMwz2g
